ia_bicarbonato                                | Bicarbonato de sodio                | dup_id=False dup_nombre=False usado_en_receta=False
ia_boniato                                    | Boniato                             | dup_id=False dup_nombre=False usado_en_receta=True
ia_garbanzos                                  | Garbanzos (cocidos)                 | dup_id=False dup_nombre=False usado_en_receta=True
ia_pimiento_rojo                              | Pimiento Rojo                       | dup_id=False dup_nombre=False usado_en_receta=True
ia_alubias                                    | Alubias                             | dup_id=False dup_nombre=False usado_en_receta=True
ia_bebida_de_almendras                        | Bebida de almendras (sin azúcares añadidos) | dup_id=False dup_nombre=False usado_en_receta=False
ia_bebida_de_soja_sin_azucar                  | bebida de soja sin azucar           | dup_id=False dup_nombre=False usado_en_receta=True
ia_carne_de_cerdo                             | Carne de cerdo                      | dup_id=False dup_nombre=False usado_en_receta=False
ia_harina_de_trigo                            | Harina de trigo                     | dup_id=False dup_nombre=False usado_en_receta=False
ia_salmon_ahumado                             | Salmón ahumado                      | dup_id=False dup_nombre=False usado_en_receta=False
ia_almendras                                  | almendras                           | dup_id=False dup_nombre=False usado_en_receta=True
ia_aroma_de_vainilla                          | Aroma de Vainilla                   | dup_id=False dup_nombre=False usado_en_receta=True
ia_crema_de_cacahuete                         | Crema de cacahuete (100% cacahuete natural) | dup_id=False dup_nombre=False usado_en_receta=True
ia_maiz                                       | Maíz                                | dup_id=False dup_nombre=False usado_en_receta=False
ia_semillas_de_girasol                        | Semillas de girasol                 | dup_id=False dup_nombre=False usado_en_receta=False
ia_tomate                                     | tomate                              | dup_id=False dup_nombre=False usado_en_receta=True
ia_pan_rallado_integral                       | pan rallado integral                | dup_id=False dup_nombre=False usado_en_receta=True
ia_saltamontes_frito                          | Saltamontes Frito                   | dup_id=False dup_nombre=False usado_en_receta=False
ia_tomate_frito                               | Tomate frito                        | dup_id=False dup_nombre=False usado_en_receta=False
ia_tomate_triturado                           | Tomate triturado                    | dup_id=False dup_nombre=False usado_en_receta=False
ia_vinagre_de_manzana                         | Vinagre de manzana                  | dup_id=False dup_nombre=False usado_en_receta=False
ia_agave                                      | Agave                               | dup_id=False dup_nombre=False usado_en_receta=False
ia_curry_en_polvo                             | Curry en polvo                      | dup_id=False dup_nombre=False usado_en_receta=True
ia_harina_de_garbanzo                         | Harina de garbanzo                  | dup_id=False dup_nombre=False usado_en_receta=True
ia_sal_baja_en_sodio                          | Sal baja en sodio                   | dup_id=False dup_nombre=False usado_en_receta=True
ia_atun                                       | Atún                                | dup_id=False dup_nombre=False usado_en_receta=False
ia_jamon_cocido                               | Jamón cocido                        | dup_id=False dup_nombre=False usado_en_receta=False
ia_jengibre                                   | JENGIBRE                            | dup_id=False dup_nombre=False usado_en_receta=True
ia_te                                         | té                                  | dup_id=False dup_nombre=False usado_en_receta=False
ia_zanahoria                                  | Zanahoria                           | dup_id=False dup_nombre=False usado_en_receta=True
ia_albahaca                                   | Albahaca                            | dup_id=False dup_nombre=False usado_en_receta=True
